361976 U	S STAND	ARD							
2.70000 1	0	0  33.6	0000 11	6.44261	0	0.57	065   0	0	
									
WL	H2O	O3	MOLEC						
(NM)	TRANS	TRANS	SCAT						
250	1	0	0.096						
250.5	1	0	0.0981						
251	1	0	0.1001						
251.5	1	0	0.1022						
252	1	0	0.1043						
252.5	1	0	0.1064						
253	1	0	0.1085						
253.5	1	0	0.1107						
254	1	0	0.1128						
254.5	1	0	0.115						
255	1	0	0.1172						
255.5	1	0	0.1194						
256	1	0	0.1216						
256.5	1	0	0.1239						
257	1	0	0.1262						
257.5	1	0	0.1284						
258	1	0	0.1307						
258.5	1	0	0.133						
259	1	0	0.1353						
259.5	1	0	0.1377						
260	1	0	0.14						
260.5	1	0	0.1424						
261	1	0	0.1448						
261.5	1	0	0.1472						
262	1	0	0.1496						
262.5	1	0	0.152						
263	1	0	0.1544						
263.5	1	0	0.1569						
264	1	0	0.1593						
264.5	1	0	0.1618						
265	1	0	0.1642						
265.5	1	0	0.1667						
266	1	0	0.1692						
266.5	1	0	0.1717						
267	1	0	0.1743						
267.5	1	0	0.1768						
268	1	0	0.1793						
268.5	1	0	0.1819						
269	1	0	0.1844						
269.5	1	0	0.187						
270	1	0	0.1895						
270.5	1	0	0.1921						
271	1	0	0.1947						
271.5	1	0	0.1973						
272	1	0	0.1999						
272.5	1	0	0.2025						
273	1	0	0.2051						
273.5	1	0	0.2078						
274	1	0	0.2104						
274.5	1	0	0.213						
275	1	0	0.2157						
275.5	1	0	0.2183						
276	1	0	0.2209						
276.5	1	0	0.2236						
277	1	0	0.2263						
277.5	1	0	0.2289						
278	1	0	0.2316						
278.5	1	0	0.2343						
279	1	0	0.2369						
279.5	1	0	0.2396						
280	1	0	0.2423						
280.5	1	0	0.245						
281	1	0	0.2477						
281.5	1	0	0.2504						
282	1	0	0.2531						
282.5	1	0	0.2557						
283	1	0	0.2584						
283.5	1	0	0.2611						
284	1	0	0.2638						
284.5	1	0	0.2665						
285	1	0	0.2692						
285.5	1	0	0.2719						
286	1	0	0.2746						
286.5	1	0	0.2773						
287	1	0	0.28						
287.5	1	0	0.2828						
288	1	0	0.2855						
288.5	1	0	0.2882						
289	1	0	0.2909						
289.5	1	0	0.2936						
290	1	0	0.2963						
290.5	1	0	0.299						
291	1	0	0.3016						
291.5	1	0	0.3043						
292	1	0	0.307						
292.5	1	0	0.3097						
293	1	0	0.3124						
293.5	1	0.0001	0.3151						
294	1	0.0002	0.3178						
294.5	1	0.0003	0.3205						
295	1	0.0005	0.3231						
295.5	1	0.0008	0.3258						
296	1	0.0013	0.3285						
296.5	1	0.002	0.3312						
297	1	0.0029	0.3338						
297.5	1	0.0044	0.3365						
298	1	0.0064	0.3392						
298.5	1	0.0086	0.3418						
299	1	0.0117	0.3445						
299.5	1	0.0163	0.3471						
300	1	0.0213	0.3498						
300.5	1	0.027	0.3524						
301	1	0.0352	0.3551						
301.5	1	0.0443	0.3577						
302	1	0.0528	0.3603						
302.5	1	0.0646	0.3629						
303	1	0.0801	0.3656						
303.5	1	0.0939	0.3682						
304	1	0.1056	0.3708						
304.5	1	0.123	0.3734						
305	1	0.1472	0.376						
305.5	1	0.1683	0.3786						
306	1	0.1826	0.3812						
306.5	1	0.2009	0.3837						
307	1	0.2308	0.3863						
307.5	1	0.2614	0.3889						
308	1	0.2807	0.3914						
308.5	1	0.2968	0.394						
309	1	0.3205	0.3966						
309.5	1	0.3564	0.3991						
310	1	0.387	0.4016						
310.5	1	0.4059	0.4042						
311	1	0.4237	0.4067						
311.5	1	0.4452	0.4092						
312	1	0.4794	0.4117						
312.5	1	0.5139	0.4142						
313	1	0.5327	0.4167						
313.5	1	0.5402	0.4192						
314	1	0.5659	0.4217						
314.5	1	0.6067	0.4242						
315	1	0.6274	0.4267						
315.5	1	0.6292	0.4291						
316	1	0.6495	0.4316						
316.5	1	0.6841	0.4341						
317	1	0.6994	0.4365						
317.5	1	0.6998	0.4389						
318	1	0.7182	0.4414						
318.5	1	0.7579	0.4438						
319	1	0.7822	0.4462						
319.5	1	0.7746	0.4486						
320	1	0.772	0.451						
320.5	1	0.8034	0.4534						
321	1	0.8419	0.4558						
321.5	1	0.851	0.4582						
322	1	0.831	0.4605						
322.5	1	0.8225	0.4629						
323	1	0.849	0.4653						
323.5	1	0.8902	0.4676						
324	1	0.9066	0.4699						
324.5	1	0.8914	0.4723						
325	1	0.8743	0.4746						
325.5	1	0.8848	0.4769						
326	1	0.913	0.4792						
326.5	1	0.9357	0.4815						
327	1	0.9366	0.4838						
327.5	1	0.9217	0.4861						
328	1	0.9106	0.4884						
328.5	1	0.9263	0.4906						
329	1	0.9526	0.4929						
329.5	1	0.9651	0.4951						
330	1	0.9607	0.4974						
330.5	1	0.9479	0.4996						
331	1	0.9413	0.5018						
331.5	1	0.9498	0.5041						
332	1	0.9674	0.5063						
332.5	1	0.9777	0.5085						
333	1	0.9764	0.5107						
333.5	1	0.967	0.5128						
334	1	0.9635	0.515						
334.5	1	0.9731	0.5172						
335	1	0.9835	0.5193						
335.5	1	0.9889	0.5215						
336	1	0.9887	0.5236						
336.5	1	0.9839	0.5258						
337	1	0.9775	0.5279						
337.5	1	0.9757	0.53						
338	1	0.9826	0.5321						
338.5	1	0.9901	0.5342						
339	1	0.9932	0.5363						
339.5	1	0.9924	0.5384						
340	1	0.9888	0.5405						
340.5	1	0.9877	0.5426						
341	1	0.9913	0.5446						
341.5	1	0.9948	0.5467						
342	1	0.9964	0.5487						
342.5	1	0.9967	0.5507						
343	1	0.996	0.5528						
343.5	1	0.994	0.5548						
344	1	0.9915	0.5568						
344.5	1	0.9921	0.5588						
345	1	0.9948	0.5608						
345.5	1	0.9967	0.5628						
346	1	0.9978	0.5647						
346.5	1	0.9985	0.5667						
347	1	0.9983	0.5687						
347.5	1	0.9978	0.5706						
348	1	0.9982	0.5726						
348.5	1	0.999	0.5745						
349	1	0.9994	0.5764						
349.5	1	0.9995	0.5783						
350	1	0.9995	0.5802						
350.5	1	0.9995	0.5821						
351	1	0.9992	0.584						
351.5	1	0.9984	0.5859						
352	1	0.9983	0.5878						
352.5	1	0.9988	0.5897						
353	1	0.9994	0.5915						
353.5	1	0.9997	0.5934						
354	1	0.9998	0.5952						
354.5	1	0.9998	0.597						
355	1	0.9997	0.5989						
355.5	1	0.9997	0.6007						
356	1	0.9997	0.6025						
356.5	1	0.9996	0.6043						
357	1	0.9995	0.6061						
357.5	1	0.9995	0.6079						
358	1	0.9996	0.6097						
358.5	1	0.9997	0.6114						
359	1	0.9997	0.6132						
359.5	1	0.9996	0.6149						
360	1	0.9996	0.6167						
360.5	1	0.9997	0.6184						
361	1	0.9997	0.6201						
361.5	1	0.9997	0.6219						
362	1	0.9998	0.6236						
362.5	1	0.9998	0.6253						
363	1	0.9999	0.627						
363.5	1	0.9999	0.6287						
364	1	0.9999	0.6304						
364.5	1	0.9998	0.632						
365	1	0.9999	0.6337						
365.5	1	0.9999	0.6354						
366	1	1	0.637						
366.5	1	1	0.6387						
367	1	1	0.6403						
367.5	1	1	0.6419						
368	1	1	0.6435						
368.5	1	1	0.6452						
369	1	1	0.6468						
369.5	1	1	0.6484						
370	1	1	0.65						
370.5	1	1	0.6515						
371	1	1	0.6531						
371.5	1	1	0.6547						
372	1	1	0.6562						
372.5	1	1	0.6578						
373	1	1	0.6593						
373.5	1	1	0.6609						
374	1	1	0.6624						
374.5	1	1	0.6639						
375	1	1	0.6655						
375.5	1	1	0.667						
376	1	1	0.6685						
376.5	1	1	0.67						
377	1	1	0.6715						
377.5	1	1	0.6729						
378	1	1	0.6744						
378.5	1	1	0.6759						
379	1	1	0.6773						
379.5	1	1	0.6788						
380	1	1	0.6802						
380.5	1	1	0.6817						
381	1	1	0.6831						
381.5	1	1	0.6845						
382	1	1	0.686						
382.5	1	1	0.6874						
383	1	1	0.6888						
383.5	1	1	0.6902						
384	1	1	0.6915						
384.5	1	1	0.6929						
385	1	1	0.6943						
385.5	1	1	0.6957						
386	1	1	0.697						
386.5	1	1	0.6984						
387	1	1	0.6998						
387.5	1	1	0.7011						
388	1	1	0.7025						
388.5	1	1	0.7038						
389	1	1	0.7051						
389.5	1	1	0.7064						
390	1	1	0.7078						
390.5	1	1	0.7091						
391	1	1	0.7104						
391.5	1	1	0.7116						
392	1	1	0.7129						
392.5	1	1	0.7142						
393	1	1	0.7155						
393.5	1	1	0.7167						
